osm_id,longitude,latitude
node/5164845181,77.6489716,12.9816772
node/5164845182,77.6489673,12.9817007
node/5164845183,77.6490424,12.9814423
node/5164845184,77.6490551,12.9814485
node/5164845185,77.649093,12.9815152
node/5164845204,77.6481264,12.9822427
node/5164845205,77.6481599,12.9822565
node/5164845206,77.6482478,12.9821415
node/5164845212,77.6484054,12.981986
node/5164845213,77.6484992,12.9818311
node/5164845214,77.6486152,12.9816664
node/5164845215,77.6486561,12.9815874
node/5164845216,77.6487152,12.9815462
node/5164845217,77.6487822,12.9814534
node/5164845218,77.6488057,12.9813652
node/5164845219,77.6487822,12.981394
node/5164855024,77.6479692,12.9817256
node/5164855025,77.6478428,12.9816769
node/5164855030,77.647541,12.9811163
node/5164855031,77.6473325,12.9811019
node/5164855033,77.6472138,12.9811071
node/5164855034,77.6470166,12.9811241
node/5164855035,77.6467954,12.981177
node/5164855036,77.6465022,12.9811847
node/5164905829,77.6465929,12.9811914
node/5164905831,77.6476268,12.9813711
node/5164905832,77.6473184,12.9813992
node/5164905833,77.6470683,12.9814096
node/5164905836,77.6465754,12.9812868
node/5164905837,77.6467994,12.9814528
node/5164915346,77.6465392,12.979335
node/5164915361,77.6436498,12.9794057
node/5164915362,77.643619,12.9795912
node/5164915363,77.6436055,12.9798356
node/5164915369,77.643973,12.9797219
node/5164915370,77.6440226,12.9794311
node/5164915371,77.6439527,12.9799007
node/5489546298,77.6721143,12.9175682
node/5489546299,77.6682092,12.9191565
node/5489546300,77.6664887,12.9211841
node/5489546301,77.6692604,12.922776
node/5489546302,77.6722084,12.9241463
node/5489546303,77.6811205,12.9283671
node/5489546304,77.6840237,12.9297704
node/5489546305,77.6874669,12.9323394
node/5489546306,77.6903062,12.934995
node/5489546307,77.6937777,12.9381318
node/5489546308,77.6932821,12.937206
node/5489546309,77.6903696,12.9345625
node/5489546310,77.6874056,12.9318361
node/5489546311,77.6839637,12.929314
node/5489546312,77.6782506,12.9265985
node/5489546313,77.6743327,12.924715
node/5489546314,77.6705046,12.923023
node/5489546315,77.6754117,12.9256374
node/5489546316,77.6729193,12.9171665
node/5489546317,77.6689488,12.9188262
node/5489546318,77.6658546,12.9208939
node/5489546319,77.6686202,12.9224758
node/5489546320,77.6715179,12.9238244
node/5489548421,77.6802881,12.9279775
node/5489548422,77.6832518,12.9294031
node/5489548423,77.686913,12.9318567
node/5489548424,77.6898505,12.934535
node/5489548425,77.6927384,12.9371114
node/5489548426,77.6938955,12.9377679
node/5489548427,77.6911259,12.9351713
node/5489548428,77.6880379,12.9324084
node/5489548429,77.6848351,12.9297163
node/5489548430,77.67904,12.9269779
node/5489548431,77.6750877,12.9250788
node/5489548432,77.6712409,12.9233216
node/5489548433,77.674888,12.9253737
node/5489548434,77.6788371,12.9273305
node/5489548435,77.6737842,12.916094
node/5489548436,77.6695327,12.9186432
node/5489548437,77.6660792,12.9202287
node/5489548438,77.667911,12.9221465
node/5489548439,77.6796746,12.9276849
node/5489548440,77.6825199,12.9290455
node/5489548441,77.6862361,12.9312759
node/5489548442,77.6892274,12.9339467
