osm_id,crossing_type,signals,markings,crossing_island,tactile_paving,longitude,latitude
node/9965634719,,no,no,no,no,77.7307831,12.9562369
node/9968069324,,,zebra,,,77.6094783,12.9732469
node/9968069329,,,zebra,,,77.6094916,12.9730829
node/9968069330,,,zebra,,,77.6090567,12.9729276
node/9968069332,unmarked,,no,,,77.6078699,12.9723088
node/9968069338,,,,,,77.6081051,12.972588
node/9968069339,,,,,,77.6081865,12.9726347
node/9968069340,,,,,,77.6084645,12.9727848
node/9968069342,,,,,,77.6100786,12.9734868
node/9968069355,unmarked,,no,,,77.6077228,12.9742935
node/9981071416,,no,,,,77.710963,12.9747996
node/9981143421,uncontrolled,,zebra,,,77.7272731,12.9766355
node/9981143423,uncontrolled,,,,,77.727033,12.9764528
node/9981143424,uncontrolled,,,,,77.7270452,12.9765858
node/9981143426,unmarked,,no,,,77.7265273,12.9763866
node/9981143429,uncontrolled,,,,,77.7270977,12.9763557
node/9981143438,uncontrolled,,zebra,,,77.7269893,12.9766807
node/9981175217,uncontrolled,,no,,,77.6089831,12.9820081
node/9981175218,unmarked,,no,,,77.6083522,12.9822215
node/9981175219,uncontrolled,,,no,,77.6071145,12.9826553
node/9981175220,uncontrolled,,,no,,77.607697,12.9824543
node/9981175221,uncontrolled,,no,,,77.6098309,12.9817217
node/9981175226,,,,,,77.6102943,12.9813778
node/9981175227,marked,,yes,,,77.6062485,12.9829376
node/9981175228,marked,,yes,,,77.6062245,12.9828822
node/9981175231,uncontrolled,,no,,,77.6097501,12.9816725
node/9983745331,uncontrolled,,zebra,,,77.610576,12.9718951
node/9984551451,traffic_signals,yes,yes,,,77.6111042,12.9742152
node/10001402820,,,,,,77.6068233,12.9779097
node/10005593350,unmarked,,,,,77.5139633,13.0745746
node/10005889025,,,,,,77.6046814,12.9751046
node/10016159588,marked,,,no,no,77.6026204,12.9753652
node/10016159593,uncontrolled,,,,,77.6025536,12.9756603
node/10016159597,marked,,,,,77.6023651,12.9756218
node/10016159606,,,no,,,77.605941,12.9747093
node/10016225524,uncontrolled,,,,,77.5888923,12.9870014
node/10016225528,uncontrolled,,,,,77.5896612,12.9860798
node/10016225530,,,,,,77.589739,12.9859745
node/10016225540,uncontrolled,,zebra,,,77.5917323,12.9835078
node/10016225575,marked,,,,,77.592341,12.9831551
node/10016225578,traffic_signals,,zebra,,,77.5947323,12.9819981
node/10016225579,traffic_signals,,zebra,,,77.5948562,12.9819365
node/10016225587,unmarked,,no,,,77.5938469,12.9808053
node/10016225594,traffic_signals,,zebra,,,77.5945393,12.9818078
node/10016225595,traffic_signals,,zebra,,,77.5946626,12.9817361
node/10016225605,,,,,,77.5978903,12.9800611
node/10016225607,,,,,,77.5990144,12.9775733
node/10016225612,traffic_signals,yes,zebra,,,77.5975491,12.9808395
node/10016225616,traffic_signals,,zebra,,,77.597237,12.9811264
node/10016346059,uncontrolled,,zebra,,,77.6016864,12.9759128
node/10016370962,traffic_signals,,zebra,,,77.584957,12.9636101
node/10017310825,,,,,,77.6101535,12.9744921
node/10017480985,,,no,,,77.7295987,12.988483
node/10017481120,,no,yes,yes,,77.7316639,12.9883017
node/10024065101,,,,,,77.5796422,12.9643361
node/10026312425,,,,,,77.5682958,12.9633762
node/10026604834,,,,,,77.5853952,12.9658951
node/10026604868,,,,,,77.5817352,12.9672358
node/10034231489,uncontrolled,,yes,no,,77.6380241,12.9611335
node/10035984290,,,,,,77.5833302,12.984361
node/10035995149,,,,,,77.6205613,13.0136236
node/10036348108,,,,,,77.5887823,12.9878419
node/10036417967,,,,,,77.5853022,12.9836696
